#ip,ioc
31.44.184.232,Possible Cobaltstrike C2 IP
31.44.184.241,Possible Cobaltstrike C2 IP
31.44.184.63,Possible Cobaltstrike C2 IP
31.44.184.73,Possible Cobaltstrike C2 IP
31.44.184.82,Possible Cobaltstrike C2 IP
34.199.123.211,Possible Cobaltstrike C2 IP
35.171.155.9,Possible Cobaltstrike C2 IP
35.76.124.230,Possible Cobaltstrike C2 IP
35.78.175.21,Possible Cobaltstrike C2 IP
36.110.138.149,Possible Cobaltstrike C2 IP
36.154.179.146,Possible Cobaltstrike C2 IP
36.26.79.22,Possible Cobaltstrike C2 IP
38.180.78.177,Possible Cobaltstrike C2 IP
38.54.101.95,Possible Cobaltstrike C2 IP
38.54.115.233,Possible Cobaltstrike C2 IP
38.54.45.144,Possible Cobaltstrike C2 IP
38.60.251.60,Possible Cobaltstrike C2 IP
39.100.83.53,Possible Cobaltstrike C2 IP
39.100.84.221,Possible Cobaltstrike C2 IP
39.101.150.221,Possible Cobaltstrike C2 IP
39.102.32.121,Possible Cobaltstrike C2 IP
39.104.81.101,Possible Cobaltstrike C2 IP
39.105.143.177,Possible Cobaltstrike C2 IP
39.105.191.1,Possible Cobaltstrike C2 IP
39.105.201.3,Possible Cobaltstrike C2 IP
39.105.21.36,Possible Cobaltstrike C2 IP
39.106.75.77,Possible Cobaltstrike C2 IP
39.107.242.130,Possible Cobaltstrike C2 IP
39.107.70.26,Possible Cobaltstrike C2 IP
39.108.189.188,Possible Cobaltstrike C2 IP
39.108.248.6,Possible Cobaltstrike C2 IP
39.96.116.31,Possible Cobaltstrike C2 IP
39.98.157.4,Possible Cobaltstrike C2 IP
40.77.86.17,Possible Cobaltstrike C2 IP
42.123.125.151,Possible Cobaltstrike C2 IP
42.192.137.198,Possible Cobaltstrike C2 IP
42.192.229.143,Possible Cobaltstrike C2 IP
42.192.37.72,Possible Cobaltstrike C2 IP
42.193.44.136,Possible Cobaltstrike C2 IP
42.193.98.44,Possible Cobaltstrike C2 IP
42.51.45.98,Possible Cobaltstrike C2 IP
43.129.173.60,Possible Cobaltstrike C2 IP
43.129.183.133,Possible Cobaltstrike C2 IP
43.129.28.136,Possible Cobaltstrike C2 IP
43.132.152.51,Possible Cobaltstrike C2 IP
43.134.228.170,Possible Cobaltstrike C2 IP
43.134.233.227,Possible Cobaltstrike C2 IP
43.136.113.152,Possible Cobaltstrike C2 IP
43.136.185.137,Possible Cobaltstrike C2 IP
43.136.36.91,Possible Cobaltstrike C2 IP
43.136.38.59,Possible Cobaltstrike C2 IP
43.136.54.181,Possible Metasploit C2 IP
43.136.93.47,Possible Metasploit C2 IP
43.136.98.30,Possible Cobaltstrike C2 IP
43.138.0.70,Possible Cobaltstrike C2 IP
43.138.118.67,Possible Cobaltstrike C2 IP
43.138.138.153,Possible Cobaltstrike C2 IP
43.138.150.136,Possible Cobaltstrike C2 IP
43.138.172.184,Possible Cobaltstrike C2 IP
43.138.178.60,Possible Metasploit C2 IP
43.138.179.199,Possible Cobaltstrike C2 IP
43.138.187.61,Possible Cobaltstrike C2 IP
43.138.20.240,Possible Cobaltstrike C2 IP
43.138.212.90,Possible Cobaltstrike C2 IP
43.138.233.12,Possible Cobaltstrike C2 IP
43.138.235.42,Possible Cobaltstrike C2 IP
43.138.30.109,Possible Cobaltstrike C2 IP
43.138.75.234,Possible Cobaltstrike C2 IP
43.138.77.115,Possible Cobaltstrike C2 IP
43.139.136.224,Possible Cobaltstrike C2 IP
43.139.185.135,Possible Cobaltstrike C2 IP
43.139.235.226,Possible Cobaltstrike C2 IP
43.139.61.204,Possible Cobaltstrike C2 IP
43.140.203.226,Possible Cobaltstrike C2 IP
43.142.12.13,Possible Cobaltstrike C2 IP
43.142.143.59,Possible Cobaltstrike C2 IP
43.142.241.70,Possible Cobaltstrike C2 IP
43.143.143.195,Possible Cobaltstrike C2 IP
43.143.18.42,Possible Cobaltstrike C2 IP
43.143.186.7,Possible Cobaltstrike C2 IP
43.143.241.241,Possible Cobaltstrike C2 IP
43.143.246.164,Possible Cobaltstrike C2 IP
43.143.248.98,Possible Cobaltstrike C2 IP
43.143.47.110,Possible Cobaltstrike C2 IP
43.143.6.159,Possible Cobaltstrike C2 IP
43.153.222.28,Possible Cobaltstrike C2 IP
43.155.75.235,Possible Cobaltstrike C2 IP
43.156.35.4,Possible Cobaltstrike C2 IP
45.134.173.5,Possible Metasploit C2 IP
45.135.118.251,Possible Cobaltstrike C2 IP
45.136.14.103,Possible Cobaltstrike C2 IP
45.136.14.51,Possible Cobaltstrike C2 IP
45.142.214.130,Possible Metasploit C2 IP
45.144.136.230,Possible Cobaltstrike C2 IP
45.145.228.117,Possible Cobaltstrike C2 IP
45.145.4.97,Possible Cobaltstrike C2 IP
45.152.64.178,Possible Cobaltstrike C2 IP
